yyyy,mm,yearmonth,SOI,NAO,EA,WP,EP_NP,PNA,EA_WR,SCA,TNH,POL,PT,expl_var,PCP,TAVG,PDSI,PHDI,ZNDX,PMDI,CDD,HDD,SP01,SP02,SP03,SP06,SP09,SP12,SP24,TMIN,TMAX
1956,9,195609,0.1,0.38,-0.42,-0.38,0.98,0.42,2.61,1.11,-99.9,0.52,-0.74,47.9,4.7,64.9,0.71,0.71,1.36,0.71,78,70,0.72,0.1,0.67,-0.02,-0.19,-0.86,0.01,54,75.9
1956,10,195610,1.8,1.47,-1.82,1.65,-1.43,-2.16,0.53,0.27,-99.9,0.36,-99.9,80.5,4.38,57.9,1.08,1.08,1.31,1.08,19,236,0.78,0.94,0.45,0.26,0.43,-0.52,-0.1,48.4,67.4
1956,11,195611,0.2,0.4,-2.9,-1.3,-0.82,1,-1.51,-0.65,-99.9,-1.13,-99.9,53.1,2.46,44.6,0.99,0.99,0.09,0.95,0,599,-0.18,0.42,0.64,0.49,0.06,-0.47,-0.19,33.8,55.4
1956,12,195612,1.1,0,-0.96,-2.76,-99.9,-0.61,0.38,2.25,0.88,0.42,-99.9,87.5,2.86,45.8,0.64,0.64,-0.76,-0.06,3,605,-0.22,-0.32,0.21,0.61,0.1,-0.08,-0.15,35.4,56.2
1957,1,195701,0.6,0.71,-0.93,-0.47,1.42,-2.18,0.69,0.75,1.65,0.91,-99.9,74.3,3.77,33.7,0.9,0.9,0.97,0.78,0,989,0.52,0.17,-0.03,0.19,0.17,0.31,0.13,24.5,42.9
1957,2,195702,-0.1,-0.32,0.7,-1.96,-0.98,-1.89,-1.73,-0.92,0.18,-2.27,-99.9,75,4.58,41.3,1.4,1.4,1.79,1.4,0,680,1.22,1.16,0.8,0.92,0.76,0.36,0.23,31.5,51.1
1957,3,195703,0.2,-1.73,0.11,-1.42,-0.56,0.78,0.45,-0.27,-99.9,-0.37,-99.9,71.1,2.72,44,-0.4,0.85,-1.21,0.1,0,648,-0.75,0.39,0.51,0.47,0.73,0.22,-0.08,33.7,54.3
1957,4,195704,0.2,0.39,-1.38,0.52,0.26,-0.41,-0.48,0.83,-99.9,0.07,-99.9,33.3,4.03,57.8,-0.25,0.88,0.35,0.27,10,225,0.62,-0.19,0.55,0.35,0.42,0.3,0.02,45.2,70.4
1957,5,195705,-0.7,-0.68,-1.72,0.46,0.85,1.24,-1.42,0.08,-99.9,-0.1,-99.9,81.7,2.56,65.1,-0.88,-0.88,-1.98,-0.88,86,79,-0.99,-0.31,-0.74,0.03,0.41,0.31,-0.08,52.6,77.6
1957,6,195706,0.2,-0.42,0.11,-2,1.71,0.24,2.45,-0.64,-99.9,-0.88,-99.9,75.6,4.36,72.6,-0.64,-0.64,0.44,-0.64,249,2,0.38,-0.44,-0.1,0.22,0.31,0.52,-0.06,62,83.2
1957,7,195707,0.2,-1.16,-1.34,-0.73,-1.03,-0.11,-0.54,0.63,-99.9,-2.35,-99.9,68.1,2.12,74.6,-1.64,-1.64,-3.18,-1.64,316,0,-2.12,-1.06,-1.38,-0.67,-0.55,-0.27,-0.29,61.9,87.2
1957,8,195708,-0.5,-0.83,-1.3,1.87,0.49,-0.99,-1.81,-0.22,-99.9,-1.38,-0.29,53.9,3.44,71.8,-1.92,-1.92,-1.36,-1.92,232,2,-0.35,-1.47,-1.05,-1.25,-0.65,-0.16,-1.18,59.6,84
1957,9,195709,-0.9,-1.47,-1.39,-1.76,1.78,-0.22,-1.79,-0.8,-99.9,-0.1,-0.17,59.5,6.24,68.7,0.68,-1.05,2.03,-0.03,151,26,1.27,0.76,-0.15,-0.18,0,0.12,-0.61,59,78.3
1957,10,195710,0,1.95,-0.42,1.13,0.84,0.46,0.57,-1.31,-99.9,-1.01,-99.9,52.5,2.96,51.8,0.69,-0.85,0.26,0.29,2,400,0.03,0.98,0.58,-0.37,-0.13,-0.15,-0.53,41.3,62.3
1957,11,195711,-1,0.63,-1.89,-0.49,0.6,0.49,1.15,0.56,-99.9,-0.86,-99.9,72,4.42,46.8,1.24,1.24,1.87,1.24,0,540,1.04,0.62,1.22,0.33,-0.11,0.15,-0.22,36.3,57.3
1957,12,195712,-0.3,0.02,-1.97,1.11,-99.9,-0.73,0.46,-0.3,-0.24,0.69,-99.9,57.2,4.55,39.5,1.76,1.76,1.93,1.76,0,784,1.02,1.34,0.97,0.54,0.41,0.51,0.35,29.5,49.6
1958,1,195801,-1.9,-1.14,-1.48,0.26,-0.38,0.62,-0.21,-0.34,-1.82,-0.38,-99.9,73.1,3.42,31.1,1.77,1.77,0.56,1.77,0,1041,0.28,0.8,1.17,1.18,0.3,0.44,0.53,21.6,40.6
1958,2,195802,-0.5,-1.64,0.61,-1.33,0.13,0.36,-0.14,-0.38,-1.33,-0.26,-99.9,64.3,3.47,29.5,1.88,1.88,0.89,1.88,0,983,0.45,0.43,0.88,1.52,0.66,0.26,0.4,20.3,38.8
1958,3,195803,0.3,-2.46,-1.02,0.76,0.45,0.18,2.15,0.28,-99.9,-0.4,-99.9,81.9,4.54,39.6,2.24,2.24,1.65,2.24,0,789,0.63,0.7,0.65,1.06,0.75,0.57,0.54,31.1,48
1958,4,195804,0.4,0.26,-1.21,0.89,0.73,0.31,0.38,1.31,-99.9,0.26,-99.9,57.6,4.59,54.2,2.57,2.57,1.69,2.57,1,321,1.04,1.05,1.03,1.36,1.49,0.66,0.7,42.8,65.5
1958,5,195805,-0.5,-0.17,1.17,1.91,0.11,0.66,-0.24,-0.34,-99.9,0.07,-99.9,24.3,4.93,62.7,2.74,2.74,1.31,2.74,53,118,0.78,1.21,1.26,1.37,1.73,1.13,1.1,51.4,74.1
1958,6,195806,0.3,-1.08,1.14,1.51,3,1.48,0.38,0.31,-99.9,0.97,-99.9,63.5,4.27,69,2.85,2.85,1.16,2.85,139,18,0.32,0.67,1.04,1.11,1.35,1.15,1.28,57.7,80.3
1958,7,195807,0.4,-1.69,-0.56,1.62,1.51,0.74,2.08,-0.33,-99.9,0.02,-99.9,69.3,4.64,76.2,2.62,2.62,0.19,2.62,364,0,0.14,0.28,0.58,1.12,1.5,1.59,1.01,66.1,86.4
1958,8,195808,0.9,-2.13,0.29,-0.16,0.14,2.13,-0.81,0.75,-99.9,1.72,1.19,57,6.11,72.7,3.15,3.15,2.41,3.15,253,1,1.09,0.86,0.81,1.4,1.55,1.89,1.41,62.3,83.1
1958,9,195809,-0.3,0.08,1.27,-1.67,-0.13,-0.05,3.31,1.48,-99.9,0.58,0.16,79.3,1.5,66,-0.47,2.36,-1.41,1.73,92,52,-1.33,0.02,0,0.59,0.76,1.09,0.95,53.3,78.6
1958,10,195810,0.1,0.68,-0.7,1.16,-0.29,0.34,0.55,0.73,-99.9,1.26,-99.9,35.9,2.56,55.1,-0.59,1.95,-0.51,1.07,9,300,-0.21,-1.13,-0.22,0.2,0.63,1.07,0.66,43.1,67
1958,11,195811,-0.4,1.59,-2.13,1.34,0.73,0.08,0.56,0.48,-99.9,-0.45,-99.9,50.7,1.91,48.1,-1.02,1.25,-1.48,-0.22,0,499,-0.6,-0.62,-1.23,-0.3,0.36,0.61,0.54,36.3,59.9
1958,12,195812,-0.6,-0.74,-0.3,-0.24,-99.9,0.35,-0.08,-0.6,0.51,-1.73,-99.9,54.6,3.58,31.3,-0.61,1.43,0.94,0.34,0,1053,0.34,-0.23,-0.41,-0.36,0.29,0.47,0.71,20.8,41.8
1959,1,195901,-0.9,-1.52,-0.72,-0.91,1.62,-1.54,-0.87,-0.65,0,-0.09,-99.9,53.5,2.05,33.4,-0.97,0.86,-1.27,-0.65,0,979,-0.96,-0.36,-0.7,-0.72,-0.22,0.2,0.46,22.4,44.5
1959,2,195902,-1.4,0.33,-0.55,0.74,0.04,-1.23,2.2,0.23,1.21,1.99,-99.9,85.7,1.69,38.6,-1.52,-1.52,-1.96,-1.52,0,747,-1.05,-1.58,-0.96,-1.53,-0.82,-0.11,0.08,26.9,50.3
1959,3,195903,1.3,-0.56,2.68,-0.51,-2.03,0.21,0.39,0.46,-99.9,1.84,-99.9,82.9,3.16,43.7,-1.56,-1.56,-0.6,-1.56,0,650,-0.38,-0.99,-1.46,-1.26,-1.04,-0.37,0.15,30.7,56.7
1959,4,195904,0.4,0.25,0.48,-0.05,0.22,-0.9,-0.07,0.26,-99.9,-0.94,-99.9,31,4.65,56.2,-0.92,-0.92,1.45,-0.09,6,262,1.08,0.38,-0.22,-0.61,-0.72,-0.38,0.24,43.6,68.8
1959,5,195905,0.5,0.41,-1.84,-0.64,0.3,-0.3,-0.12,0.73,-99.9,-0.89,-99.9,69,2.67,66.6,-1.53,-1.53,-2.11,-1.53,111,57,-0.91,0.1,-0.22,-0.77,-1.36,-0.82,0.23,54.7,78.4
